	summarized	lineages	abundances	resid	coverage
BA.2_0.03_abundance_0.041.tsv	[('Omicron', 0.9971347218055491)]	BA.2.62 BA.2.3.11 BA.2.17 BA.2.59 BA.2.10.1	0.99125751 0.00208983 0.00149375 0.00120670 0.00108692	3.0140407890798957	88.5730528709494
BA.2_0.03_abundance_0.042.tsv	[('Omicron', 0.9959095593973951)]	BA.2 BA.2.3.1	0.99464668 0.00126288	2.1309274491993753	87.46614052101796
BA.2_0.03_abundance_0.043.tsv	[('Omicron', 0.9977140238821876)]	BA.2.56 BA.2.33 BA.2.3.5	0.98476784 0.01185697 0.00108921	1.795693445261908	83.71066448182457
BA.2_0.03_abundance_0.044.tsv	[('Omicron', 0.994400562072098)]	BA.2.56	0.99440056	2.8363810268161176	85.93452161990436
BA.2_0.03_abundance_0.045.tsv	[('Omicron', 0.9969322509180876)]	BA.2.56 XAP	0.99562655 0.00130570	1.897792299789777	88.96766210748085
BA.2_0.03_abundance_0.046.tsv	[('Omicron', 0.9937746294291324)]	BA.2.56 BA.2 BA.2.1 BA.2.24 BA.2.64	0.98439065 0.00442486 0.00199054 0.00183487 0.00113370	3.523480877236117	82.57699896331472
BA.2_0.03_abundance_0.047.tsv	[('Omicron', 0.9951397307847148)]	BA.2 BA.2.51 BA.2.64	0.98667542 0.00671069 0.00175362	3.433433258885125	84.59686319098418
BA.2_0.03_abundance_0.048.tsv	[('Omicron', 0.9943622291247585)]	BA.2.62 BA.2 BA.2.65 BA.2.85	0.94201468 0.04761282 0.00369778 0.00103695	3.9922931848784495	85.81747650737384
BA.2_0.03_abundance_0.049.tsv	[('Omicron', 0.9959299322996371)]	BA.2.56 BA.2 BA.2.68 XAP BA.2.23 BA.2.3	0.94457480 0.04651119 0.00152817 0.00124980 0.00106530 0.00100068	3.6904593365708913	89.11146038858978
BA.2_0.03_abundance_0.0410.tsv	[('Omicron', 0.9950347215274875)]	BA.2.27 BA.2	0.96596485 0.02906987	3.8691018771929726	87.16182322843862
