	summarized	lineages	abundances	resid	coverage
NOPCR_BA.2_0.04_abundance_0.031.tsv	[('Omicron', 0.9962295088114814)]	BA.2.27 BA.2.10.1 BA.2.26 BA.2.8	0.98851846 0.00436658 0.00209193 0.00125254	2.4341438974571017	86.38263719359261
NOPCR_BA.2_0.04_abundance_0.032.tsv	[('Omicron', 0.9978685765508447)]	BA.2 BA.2.27 BA.2.54 BA.2.78 BA.2.23	0.99167436 0.00206612 0.00166095 0.00141106 0.00105609	1.4927554500787032	86.15523526067619
NOPCR_BA.2_0.04_abundance_0.033.tsv	[('Omicron', 0.9975164978659389)]	BA.2 BA.2.24 BA.2.55	0.99439669 0.00192672 0.00119309	2.5516906446481125	85.89104772096445
NOPCR_BA.2_0.04_abundance_0.034.tsv	[('Omicron', 0.995620543640512)]	BA.2.29 BA.2.72	0.99438087 0.00123967	1.5585158185691217	83.31939939136541
NOPCR_BA.2_0.04_abundance_0.035.tsv	[('Omicron', 0.992022183756572)]	BA.2 BA.2.10.1 BA.2.19	0.98786569 0.00273870 0.00141780	0.9268106698928004	85.18877704578136
NOPCR_BA.2_0.04_abundance_0.036.tsv	[('Omicron', 0.9954868631908033)]	BA.2.62 BA.2.3.16 BA.2.20 BA.2.23	0.99151282 0.00155423 0.00127579 0.00114402	2.259198801427064	85.69708724877103
NOPCR_BA.2_0.04_abundance_0.037.tsv	[('Omicron', 0.9942792307761315)]	BA.2.56 BA.2.27 BA.2.29 BA.2.3.8	0.49484251 0.49480723 0.00357157 0.00105792	2.7621108675060233	82.90806942447246
NOPCR_BA.2_0.04_abundance_0.038.tsv	[('Omicron', 0.9961104589920697)]	BA.2 BA.2.51	0.99457715 0.00153331	1.4019325563629075	88.546299702371
NOPCR_BA.2_0.04_abundance_0.039.tsv	[('Omicron', 0.994471233328613)]	BA.2.56 BA.2 BA.2.3.11 BA.2.24 BA.2.59	0.98668238 0.00278574 0.00217591 0.00168088 0.00114633	1.9192396603191477	84.6771226967194
NOPCR_BA.2_0.04_abundance_0.0310.tsv	[('Omicron', 0.9954421372550833)]	BA.2.56 BA.2.27 BA.2.5 BA.2.13 BA.2.41	0.97496201 0.01282118 0.00387627 0.00272108 0.00106160	3.1494044395295333	92.43888573052871
